iter	Logloss
0	0.6758103713
1	0.6597933541
2	0.6436130481
3	0.6289184396
4	0.615680415
5	0.6041464631
6	0.5919606946
7	0.5810271306
8	0.5708694477
9	0.5616904995
10	0.5531262274
11	0.5462307821
12	0.5395384654
13	0.5324792512
14	0.5260039145
15	0.5206573831
16	0.5146177347
17	0.5091726794
18	0.5051271054
19	0.5002675725
20	0.4957297484
21	0.4922749359
22	0.4885490502
23	0.4853767149
24	0.4817035612
25	0.4779801667
26	0.4749043418
27	0.4724239802
28	0.4692668953
29	0.4668126025
30	0.4641619632
31	0.461852564
32	0.4593790781
33	0.4566096753
34	0.4535177269
35	0.4508119971
36	0.4486357376
37	0.4462131385
38	0.4442635576
39	0.442431373
40	0.4400817574
41	0.4383712625
42	0.436752963
43	0.4351074768
44	0.4338367732
45	0.4324361201
46	0.4310149293
47	0.4296594083
48	0.428161711
49	0.4267479295
50	0.4251311384
51	0.4238425597
52	0.4227119358
53	0.4213028993
54	0.4194874445
55	0.417368122
56	0.4159300302
57	0.4146092892
58	0.4129524772
59	0.4115340608
60	0.4101407047
61	0.4087243471
62	0.4077730368
63	0.4068136132
64	0.4045211741
65	0.4035195356
66	0.4024345239
67	0.4016529551
68	0.4002373819
69	0.3990946878
70	0.3983721724
71	0.3976567015
72	0.3968250041
73	0.3962665779
74	0.3954676048
75	0.394074835
76	0.393496743
77	0.3917545704
78	0.3898587786
79	0.3888707419
80	0.3882285098
81	0.3874274385
82	0.3859382265
83	0.3849312435
84	0.3839774078
85	0.3831370271
86	0.3823739924
87	0.3817704569
88	0.3811992684
89	0.3799331423
90	0.3774805808
91	0.3755253418
92	0.3722740876
93	0.3719134494
94	0.3711281884
95	0.3703095584
96	0.3693337864
97	0.3686158518
98	0.3681502704
99	0.3673211586
100	0.3662671774
101	0.3655239991
102	0.3629668461
103	0.3624532759
104	0.3619680387
105	0.3606917384
106	0.3587934265
107	0.3584934056
108	0.3580116653
109	0.3572741523
110	0.355922372
111	0.3544768275
112	0.3536620175
113	0.3530395996
114	0.3522872596
115	0.3519620384
116	0.3489313233
117	0.3484912438
118	0.3479821256
119	0.3477329772
120	0.3455332535
121	0.3453222866
122	0.3442926623
123	0.3438868469
124	0.3427470389
125	0.3424296046
126	0.3406980953
127	0.3385459543
128	0.3380866866
129	0.337069722
130	0.3366186342
131	0.3362188544
132	0.3359625837
133	0.3355899975
134	0.3335520603
135	0.332915294
136	0.3326309572
137	0.3322163123
138	0.3314622782
139	0.3310513614
140	0.3307104397
141	0.3287650789
142	0.3287222132
143	0.3275412893
144	0.3271172428
145	0.3268641858
146	0.3261424611
147	0.3254113824
148	0.3251021358
149	0.3248334103
150	0.3245095512
151	0.3240074566
152	0.3237115425
153	0.3232947673
154	0.3230217105
155	0.3223848058
156	0.3221246958
157	0.3218605533
158	0.3215147534
159	0.3202110072
160	0.3193478289
161	0.3190246473
162	0.3184034149
163	0.3179863449
164	0.3168738752
165	0.3165531322
166	0.3163825195
167	0.3161381126
168	0.3154503162
169	0.3149376403
170	0.3146599728
171	0.3140590998
172	0.3136757974
173	0.3123217353
174	0.3121695845
175	0.3107459495
176	0.3105977001
177	0.3103123755
178	0.309233483
179	0.3087319772
180	0.3083010154
181	0.3075070695
182	0.3072030222
183	0.306702485
184	0.3050622425
185	0.3047930459
186	0.304314144
187	0.3041385522
188	0.3036725812
189	0.3035124337
190	0.3026447387
191	0.3022911584
192	0.3013358868
193	0.3008274491
194	0.300672027
195	0.3004909706
196	0.3000682882
197	0.2997731218
198	0.2991287633
199	0.2985632445
200	0.2982944664
201	0.2979179681
202	0.2977172564
203	0.2974098908
204	0.2972280199
205	0.2970740098
206	0.2967890921
207	0.2965735656
