iter	Passed	Remaining
0	155	155448
1	173	86569
2	192	63902
3	210	52308
4	233	46482
5	255	42340
6	274	38944
7	293	36350
8	311	34330
9	331	32798
10	349	31437
11	371	30609
12	395	30039
13	416	29328
14	435	28570
15	456	28097
16	492	28460
17	519	28315
18	540	27917
19	564	27657
20	587	27388
21	614	27326
22	636	27046
23	657	26728
24	680	26537
25	700	26253
26	722	26036
27	747	25966
28	787	26358
29	818	26468
30	844	26409
31	867	26227
32	887	26009
33	907	25789
34	929	25619
35	947	25374
36	967	25169
37	992	25135
38	1012	24959
39	1032	24785
40	1053	24631
41	1072	24466
42	1092	24305
43	1111	24158
44	1131	24023
45	1167	24215
46	1204	24417
47	1230	24400
48	1259	24435
49	1276	24260
50	1298	24159
51	1323	24124
52	1342	23985
53	1362	23877
54	1382	23752
55	1401	23631
56	1420	23499
57	1441	23405
58	1460	23297
59	1480	23189
60	1498	23069
61	1515	22929
62	1533	22814
63	1552	22707
64	1574	22652
65	1593	22543
66	1610	22428
67	1628	22318
68	1645	22196
69	1662	22083
70	1679	21973
71	1698	21897
72	1717	21806
73	1734	21709
74	1753	21620
75	1771	21535
76	1789	21453
77	1806	21358
78	1824	21274
79	1844	21208
80	1866	21177
81	1886	21114
82	1905	21056
83	1933	21086
84	1960	21101
85	1982	21064
86	2002	21012
87	2024	20984
88	2043	20921
89	2066	20889
90	2090	20881
91	2110	20830
92	2131	20791
93	2151	20737
94	2167	20646
95	2183	20561
96	2199	20471
97	2210	20347
98	2224	20241
99	2240	20163
100	2259	20113
101	2280	20076
102	2300	20034
103	2319	19981
104	2339	19937
105	2367	19971
106	2389	19945
107	2413	19935
108	2429	19861
109	2450	19829
110	2470	19786
111	2489	19738
112	2516	19756
113	2535	19702
114	2547	19604
115	2562	19530
116	2577	19454
117	2592	19376
118	2606	19296
119	2621	19221
120	2635	19148
121	2649	19069
122	2664	18996
123	2679	18927
124	2694	18862
125	2709	18794
126	2725	18738
127	2743	18690
128	2766	18677
129	2785	18639
130	2803	18597
131	2821	18551
132	2837	18497
133	2856	18458
134	2874	18418
135	2890	18361
136	2911	18340
137	2928	18295
138	2946	18248
139	2963	18204
140	2980	18155
141	2996	18108
142	3006	18018
143	3024	17977
144	3041	17936
145	3059	17895
146	3076	17854
147	3094	17815
148	3112	17774
149	3135	17769
150	3161	17776
151	3186	17775
152	3207	17754
153	3226	17725
154	3246	17697
155	3265	17664
156	3283	17632
157	3308	17631
158	3329	17611
159	3350	17590
160	3369	17560
161	3390	17536
162	3408	17504
163	3430	17486
164	3448	17449
165	3466	17414
166	3483	17377
167	3499	17330
168	3518	17300
169	3537	17273
170	3553	17226
171	3577	17220
172	3600	17211
173	3618	17176
174	3633	17130
175	3651	17093
176	3670	17067
177	3692	17054
178	3718	17054
179	3737	17026
180	3757	17000
181	3776	16975
182	3799	16963
183	3814	16915
184	3827	16860
185	3841	16810
186	3855	16760
187	3869	16714
188	3884	16670
189	3899	16625
190	3914	16579
191	3931	16543
192	3948	16508
193	3970	16497
194	4003	16527
195	4025	16513
196	4049	16507
197	4073	16501
198	4097	16494
199	4126	16504
200	4150	16498
201	4175	16494
202	4200	16490
203	4226	16490
204	4250	16482
205	4273	16470
206	4296	16460
207	4322	16458
208	4348	16459
209	4374	16456
210	4398	16447
211	4421	16436
212	4450	16442
213	4496	16515
214	4537	16568
215	4590	16661
216	4697	16949
217	4749	17035
218	4793	17093
219	4843	17171
220	4886	17223
221	4925	17261
222	4973	17329
223	5046	17481
224	5094	17546
225	5139	17601
226	5193	17684
227	5225	17694
228	5258	17704
229	5290	17712
230	5325	17727
231	5356	17730
232	5396	17762
233	5435	17793
234	5465	17791
235	5502	17812
236	5539	17833
237	5578	17861
238	5603	17841
239	5637	17850
240	5671	17861
241	5705	17871
242	5741	17886
